,Sales Package,Model Number,Model Name,Type,Portable,Bluetooth,Memory Card Slot,Configuration,Power Source,Frequency Response,Impedance,Color,Wired/Wireless,Wall Mountable Satellite,Built-in Fm Radio,Outdoor Usage,Headphone Jack,Driver Type,Compatible Devices,Connector Type,USB Ports,Amplifier,Other Audio Features,Chassis Material,Controls,Remote Control Support,Power Input,Other System Requirements,Satellite Weight,Width,Height,Depth,Warranty Service Type,Warranty Summary,Covered in Warranty,Not Covered in Warranty,Domestic Warranty,Power Output (RMS),Display Type,Signal to Noise Ratio,Sensitivity,Memory Card Supported,Charging Time,Battery,Battery Capacity,Bluetooth Range,Driver Size,Coverage Pattern,Cable Length,Subwoofer,Distortion,Technology Used,Other Features,Audio Codec,Maximum Output RMS Per Satellite,Maximum SPL,Tweeter Support,Maximum Output RMS Subwoofer,Maximum Output RMS Center Satellite,Separation,Subwoofer Width,Subwoofer Weight,Subwoofer Height,Subwoofer Depth,Tweeter Diameter,International Warranty,Satellite Width,Satellite Height,Satellite Depth,Center Satellite Width,Center Satellite Height,Center Satellite Depth,Center Satellite Weight
775,"1 Sound Bar, 1 HDMI Cable, 1 Audio Cable, 1 AC Power Cord, 1 Remote Control, 2 Wall Mounting Brackets, 2 Battery, 4 Screws, 6 Product User Documentation",HT-A5000,Led Bulb with Bluetooth Speaker Light Bulb Remote Control for Home Bedroom Smart,Soundbar,,V1.0  withYes,Yes,Stereo Channel,"USB, Rechargeable Battery",400 Hz - 20 KHz,4,Black,Wireless,Yes,No,Yes,Yes,IOS,"Laptops, Tablets, Mobiles, Computers",,1 USB Ports,1,,"Yes, ABS Plastic Chassis","Digital Controls: Input, Rec, Priority, Previous/Volume, Play/Pause/Scan, Next",Multi Function Wireless Remote,5,,,17.1 cm,21.5 cm,127 cm,Repair/Replacement,The Warranty Period of the Product is 1 Year Commencing from the Date of Purchase Warranty Service which includes Replacement or Repairs will be Carried out Through the Authorised Service Centers Only,Manufacturing defects,physical damage,1 Year,1 W,,90 dB,,No,1 hr,"Li-ion, Use Time 13 hrs",1200 mAh,10 m,5.7,,,1,,,"Portable Speaker, Along with Handle, TWS Function, Call Function.",,,,,,,,,,,,,,,,,,,,
776,"1 MINI SPEAKER, 1 CHARGING CABLE","Super Small Dj Bluetooth Speaker 016 High Sound Quality TF Card , USB Support",Mini,Party Speaker,,Yes,No,2.1,AC Adapter,150HZ-20KHZ MIVI,16,Black,Wireless,No,Yes,Yes,No,IOS,"Desktop pc, Mobile, Tablet, Laptop",,1 USB Ports,,,High Density Wood Cabinet Chassis,"PREV/NEXT, PLAY/PAUSE, CALL/DECLINE, ON/OFF","As this is a Bluetooth speaker, it can wirelessly connect to your mobile phones and other Bluetooth enabled devices. The paring process is extremely user friendly and quick.",AC 100 - 240 V,,,4 cm,8 cm,5 cm,Replacement,1 Year Manufacturer Warranty,Manufacturing Defects,Physical Damage,3 Months,20 W,,,,YES,1 hr,"RECHARGEABL, Use Time 19 hr",1200 mAh,10 m,,,,1,,,,,,,,,,,,,,,,,,,,,,,
777,"6 Speakers, 1 Aux, 1 Remote",IK-222,Comet,Home Theatre,,Yes,No,2.1 Channel,USB Chargeable,20 Hz - 20 KHz,16,Black,Wireless,Yes,No,Yes,No,2 Speakers,"Mobile Phone, Tablet, Laptop, Smart T.V.",,1 USB Ports,,,Yes,"PREV/NEXT, PLAY/PAUSE, CALL/DECLINE, ON/OFF",Wireless,5,,,35 cm,29 cm,25 cm,7 Days Service Center Returns,Physical damage not covered,Bose Corporation (Bose) Warrants Your Product Against Defects in Materials and Workmanship When Purchased Directly from Bose or a Bose Authorised Reseller. This Warranty is Extended Only to the Original End-use Purchaser or the Person Receiving the Product as a Gift and Shall Not Be Extended to Any Other Person or Transferee,"Defects or Damage Arising from Improper Use or Maintenance, Normal Wear and Tear, Commercial Use, Accident or External Causes. Unauthorized Repair, Modification or Customization of Your Product",1 Year,780 W,,,,Micro SD,2 hr,"Rechargeable Li-ion, Use Time 2.15 hrs",1200 mAh,10 m,,,,1,,,,,,,,,,,,,,,,,,,,,,,
778,1,Touch sensor Spk smart wireles bluetooth bedside lamp spk color LED outdoor,by Harman SONIC B100,Laptop/Desktop Speaker,,Yes,Yes,Stereo,AC Adapter,300,32,Black,Wireless,,No,No,Yes,,"TV, Laptop , Mobile , PC",,1 USB Ports,,,"Yes, METAL, PLASTIC Chassis","PRESS + BUTTON TO PLAY NEXT SONG, LONG PRESS + BUTTON TO INCREASE VOLUME, PRESS - BUTTON TO PLAY PREVIOUS SOUND, LONG PRESS - BUTTON TO DECREASE VOLUME, Power switch, PLAY/PAUSE, MODE, When play music, (TF card/Line in/USB card/Bluetooth), short press to switch model",,5,,,12 cm,8 cm,5 cm,In_support@bose.com 1800-102-2673,1 Year Warranty Provided by the Manufacturer from Date of Purchase,MANUFACTURE DEFECT,PHYSICAL DAMAGE,1 Year,10 W,,,,SD card,2.5 hr,"Rechargable, Use Time 6 hr",1200 mAh,10 m,,,,1,,,,,,,,,,,,,,,,,,,,,,,
779,1 musical bulb with remote,Led Bulb with Bluetooth Speaker Light Bulb Remote Control for Home Bedroom Smart,SOUNDLINK REVOLVE II 240V AU/KR,Smart Speaker,,5,Yes,Stereo Channel,AC Adapter,90Hz-20KHz,3,Multicolor,Wired & Wireless,,Yes,Yes,Yes,,"LED, DVD, Laptop, Mobile, Teblet",,1 USB Ports,,,"No, Plastic Chassis","Media, Volume Control",,220-240V,,,8 cm,6 cm,4 cm,7 days,1 Year from Date of Invoice When Bought from Authorized Seller,NA,NA,1 Year,80 W,,,,"SD CARD, TF CARD",2.5 hr,"Rechargable, Use Time 6 hr",,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,"1 Bluetooth speaker, 1Remote",SB-1048,mini home theatre system soundbar wireless best Sound Bar speaker,Laptop/Desktop Speaker,,Yes,Yes,Stereo,Battery,300,,Black,Wireless,,Yes,Yes,Yes,,"Mobile, Computer",,1 USB Ports,,,yes Chassis,"Play /Pause, Power, Volume Up/Down, Track Change, Mode",,,,,10 cm,10 cm,20 cm,NA,7 Days,Defect Arising Out of Faulty or Defective Material or Workmanship. Parts and Labour Costs are Covered,Warranty does not cover damage caused to the product due to improper installation by customer; normal wear and tear caused due to use of product.,1 Year,60 W,,,,SD card,,Use Time 6 hr,,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,"1 Soundbar, 2 Speakers, 1 Subwoofer, Power Cord, Remote Control, 2 AAA Batteries, Wall Mount Bracket, Quick Start Guide, Warranty Card",TAB8967,"2021 Top Selling Ultra Premium Bluetooth Speaker - Loud HD Surround Sound, Wireless Pairing, 6H Battery, Splashproof with Rich Bass Greyat4",Soundbar,,5.0,No,Stereo Channel,AC Supply and Battery,120 - 15000 Hz,,Black,Wired,,Yes,Yes,Yes,,"Laptop, Tablet, Mobile, Television, Audio Player",,1 USB Ports,,,yes Chassis,,,,,,56 cm,28 cm,118 cm,"""Customer needs to call the customer care on-1800-5320-266 to register the complaints and take the product to the nearby Authorised Service centre and get the service done. Check the Nearest T-series Service centre - http://ced.tseries.com/service-point.php""",NA,NA,NA,1 Year,160 W,,,,yes,,Use Time 10 hrs,,10.5 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,1 x 2.0 USB Speaker,Mini 2.0 USB Multimedia Speakers,M4003A 4.1 Bluetooth Multimedia Speaker System Black,Laptop/Desktop Speaker,,No,Yes,5.1.2,Battery,,,Blue,Wired & Wireless,,Yes,Yes,Yes,,"ALL SMARTPHONE SAMSUNG, NOKIA, OPPO, VIVO , ONEPLUS,REALME, MTI ,REDMI, HTC, LAPTOP, TABLET, COMPUTER.",,1 USB Ports,,,yes Chassis,,,,,,8 cm,8 cm,8 cm,NA,1 Year Manufacturer Warranty,Manufacturing Defects,Any Physical Damages or Accessories,1 Year,5 W,,,,Micro SD,,Use Time 5 hr,,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,"1 N SOUNDBAR, 1 N CHARGING CABLE, 1 N AUXILIARY CABLE",M31VP (PORTABLE HOME TV SOUNDBAR) Dynamic Thunder Sound 2400mAh Battery,"2021 Top Selling Ultra Premium Bluetooth Speaker - Loud HD Surround Sound, Wireless Pairing, 6H Battery, Splashproof with Rich Bass Redat4",Mobile/Tablet Speaker,,Yes,Yes,5.1.2 Channel,usb,,,Black,Wired,,No,Yes,Yes,,"Compatible with Mobile, Computer, DVD, MP3 Player and I-Pad",,1 USB Ports,,,No,,,,,,37.5 cm,8.5 cm,6 cm,Carry-in to Service Center,NA,NO WARRANTY,NO WARRANTY,1 Year,80 w,,,,TFT Card,,,,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,"1 Sound Bar, 1 Subwoofer, 1 User Manual, 1 Power Cable , 1 RCA Cable",SASB80,,Soundbar,,5.0,Yes,Mono,Battery,,,Black,Wired,,No,Yes,No,,Compatible with all types of devices including Android and ios,,1 USB Ports,,,"Yes, ABS Plastic Chassis",,,,,,80.4 cm,14.4 cm,15.9 cm,NO WARRANTY,1 Year Domestic Warranty,,,0 Year,16 W,,,,,,,,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,1 Speaker,WV-4141 MINI Home Theatre with ECHO MIC SYSTEM Woofer BT/FM/MP3/USB/SD-Card/AUX,,Home Theatre,,Yes,Yes,Mono Channel,"BATTERY, 5V DC ADAPTER",,,Red,Wireless,,Yes,Yes,No,,"MOBILE, LAPTOP",,1 USB Ports,,,,,,,,,20 cm,23 cm,15 cm,,NO WARRANTY,,,,30 W,,,,,,,,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,"1 Speaker, Power Cord, Warranty Card, QSG, Safety Sheet",TAX5206,,Party Speaker,,4.1  withYES,No,5.1,AC Adapter,,,Black,Wireless,,Yes,,,,Computer,,1 USB Ports,,,,,,,,,30.9 cm,70 cm,32.2 cm,,,,,,10 W,,,,,,,,10.5 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,"Pebble Comet Wireless Speaker,USB Charging,User Manual,Welcome Note",PBS002,,Mobile/Tablet Speaker,,Yes,Yes,5.1 Channel,"USB Chargeable, Battery",,,Black,Wireless,,Yes,,,,mobile phone,,1 USB Ports,,,,,,,,,8.5 cm,7.5 cm,8.8 cm,,,,,,5 W,,,,,,,,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,"1 Soundbar, Remote Control with Batteries, Power Cords, Audio Cable, Wall Plug with Guide, Warranty Card, Safety Sheet",INFSNCB100BLK,,Soundbar,,4.1,Yes,2.0,,,,Black,Wired & Wireless,,Yes,,,,Compatible with all types of devices including Android and ios,,,,,,,,,,,80 cm,6 cm,8 cm,,,,,,5 W,,,,,,,,10 m,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,"1 Speaker, USB Cable, Power Supply, Quick Start Guide, User Manual, Warranty Card",SoundLink Revolve II,,Mobile/Tablet Speaker,,Yes,Yes,2.0 Channel,,,,Black,Wireless,,Yes,,,,"Mobile, Tablets",,,,,,,,,,,8.2 cm,15.2 cm,8.2 cm,,,,,,36 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,"1 BLUETOOTH SPEAKER, CHARGING CABLE","Thunder Sound, High BASS, 16W Portable Bluetooth Soundbar,2200Mah Battery",,Home Audio Speaker,,5,Yes,4.1,,,,Black,Wireless,,Yes,,,,"Laptop / Desktop, Mobile, Tablet",,,,,,,,,,,10 cm,40 cm,37 cm,,,,,,10 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,"1 Speaker, Audio Cable, Remote Control, User Manual, Wireless Mic",Multimedia Speaker T-301 TUFB,,Party Speaker,,No,Yes,4.1 Channel,,,,Black,Wired & Wireless,,Yes,,,,,,,,,,,,,,,29.3 cm,43 cm,31 cm,,,,,,10 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
792,1 speaker,"Ultra Premium Bluetooth Speaker - Loud HD Surround Sound, Wireless Pairing, 6H Battery, Splashproof with Rich Bass Greyat4",,Mobile/Tablet Speaker,,Yes,,Stereo,,,,Grey,Wireless,,Yes,,,,,,,,,,,,,,,17 cm,7 cm,7 cm,,,,,,3 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,1,"A&O 106-flashlight Speakers/Bluetooth Speaker and Torch (RED,, STEREO)",,Mobile/Tablet Speaker,,5.0,,Stereo Channel,,,,Red,Wired,,Yes,,,,,,,,,,,,,,,12 cm,10 cm,12 cm,,,,,,10 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,1,TB-015 (USB powered) 2.0 Mini Desktop Speakers 4 W Home Theatre,,Laptop/Desktop Speaker,,Yes,,5.1.2,,,,Multicolor,Wired,,,,,,,,,,,,,,,,,20 cm,15 cm,15 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,"ONE SUBWOOFER, 4 SPEAKERS, 1 REMOTE, 1 AUX CABLE, WARRANTY CARD",4.1 Multimedia Speaker with Bluetooth,,Home Theatre,,4.2,,5.1.2 Channel,,,,Black,Wired & Wireless,,,,,,,,,,,,,,,,,150 cm,250 cm,320 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796,1 speaker,"Ultra Premium Bluetooth Speaker - Loud HD Surround Sound, Wireless Pairing, 6H Battery, Splashproof with Rich Bass Redat4",,Mobile/Tablet Speaker,,Yes,,2.0,,,,Red,Wireless,,,,,,,,,,,,,,,,,17 cm,7 cm,7 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,"1 MOBILE STAND SPEAKER, 1 BLUETOOTH SPEAKER",Ultra 3d sound blast With rich premium Super deep Bass Splashproof/Waterproof NEW ARRIVAL Wireless Bluetooth Speaker with TF CARD/FM/USB DRIVE & AUX SUPPORTED IDEAL FOR CAR/LAPTOP/HOME AUDIO/GAMING SPEAKER/indoor/outdoor mini sub-woofer BKR1,,Mobile/Tablet Speaker,,Yes,,2.0 Channel,,,,Black,Wireless,,,,,,,,,,,,,,,,,8 cm,16 cm,8 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,"1 Speaker, Micro USB Charging Cable, Aux Cable, User Manual",Zeb-County,,Mobile/Tablet Speaker,,"5  withSBC, A2DP, AVRCP",,Stereo,,,,"Black, Red",Wired & Wireless,,,,,,,,,,,,,,,,,14.8 cm,12.8 cm,9 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,"1unit Speaker, 1 Unit Charging Cable","206 (PORTABLE BLUETOOTH SPEAKER) Dynamic Thunder Sound With High Bass, Mobile Stand, Built-In Torch",,Mobile/Tablet Speaker,,Yes,,Stereo Channel,,,,Black,,,,,,,,,,,,,,,,,,19 cm,8 cm,6 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,,,,,,5,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,,,,,,Yes,,2.1 Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,,,,,,4.2  withA2DP V1.3/AVRCP V1.5,,Stereo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,,,,,,Yes,,Stereo Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,,,,,,Yes,,Stereo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,,,,,,5.0  withE-91,,Stereo Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,,,,,,Yes,,Stereo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,,,,,,5.0,,Stereo Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,,,,,,Yes,,Stereo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,,,,,,4.2,,Stereo Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,,,,,,Yes,,Mono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,,,,,,No,,Mono Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,,,,,,Yes,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,,,,,,withYes,,5.1 Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,,,,,,Yes,,Stereo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,,,,,,4.2,,Stereo Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,,,,,,Yes,,Mono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,,,,,,with4.1 with4.1 withA2DP,,Mono Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,,,,,,Yes,,Stereo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,,,,,,5,,Stereo Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,,,,,,Yes,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,,,,,,,,2.1 Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,,,,,,,,4.1 Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,,,,,,,,Mono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,,,,,,,,Mono Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,,,,,,,,4.1 Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,,,,,,,,Mono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,,,,,,,,Mono Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,,,,,,,,Stereo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,,,,,,,,Stereo Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,"1 Speaker, USB Type C Cable, Strap Belt, Warranty Card",SRS-XB100,"SRS-XB100 Portable Super-Compact,Waterproof, 16Hrs Batt, Extra Bass,Built-In Mic",Mobile/Tablet Speaker,,Yes,Yes,Stereo,AC Adapter,"Wireless Frequency: 5 GHz (Rear Speaker), Wireless Frequency: 5 GHz (Subwoofer)",4,Black,Wireless,Yes,Yes,No,No,Coaxial driver,"Mobile, TV, USB",Micro,1 USB Ports,Yes,"Deep, Rich Bass with a Wireless Subwoofer, ATMOS, Dolby MAT, Dolby Digital Plus, Dolby True HD",Yes,"Volume, Play, Pause, Fwd/Rev, TV Sound Sync",Wireless,"AC 100 - 240 V, 50/60 Hz",The speaker comes with a call function along with a built-in fm radio too,0.3 kg,7.6 cm,9.5 cm,7.6 cm,Customer has to Contact LG Customer Care @ 1800 315 9999/1800 180 9999,2 Years Manufacturer Warranty,Manufacturer Defects,Physical Damage,3 Months,60 W,TFT,85 dB,45 dB,32GB,2.5 hr,"Lio polimer, Use Time 8 hr",1200 mAh,8 m,52,360 Degree,0.2 m,1,10,"Bluetooth, Reason technology india","True 11.1.4 ch Sound, Dolby 11 Channel Sound, 22 Speakers, Metal Design",Stereo,10 W,75 dB,"2, 2, Amt Tweeters Tweeters",10 W,10 W,75,221 mm,7.8 kg,390 mm,312.8 mm,12 mm,3 Months,14 mm,12 mm,10 mm,1232 mm,69.5 mm,138 mm,7.7 kg
833,1 Speaker,WV-4141 Black MINI Home Theater/ECHO MIC SYSTEM Woofer BT/FM/MP3/USB/SD-Card/AUX,"SP11RA, Dolby Atmos, AI Sound Pro, HDMI, Rear Speaker",Home Theatre,,Yes,No,Stereo Channel,220V AC,20HZ-200HZ,4,Red,Wired,Yes,No,Yes,Yes,"Android, IOS","mobile, pc, laptop, tv, desktop, led, play station, xbox",BLUETOOTH & AUX,1 USB Ports,NO,Compact and portable speaker that comes with multi-connectivity options like wireless BT/USB/micro SD and AUX,"Yes, Wood Chassis",One Remote Control,YES,5v,Please charge full of electronics when you use it at first time.,,20 cm,23 cm,15 cm,Replacement,1 YEAR Warranty ON Manufacturing Defects Only,Manufacturing Defects Only,BROKEN AND BURNED,2 Year,770 W,LED,85 dB,85 dB,yes,1 hr,Use Time 6 hr,1200 mAh,20 m,52,50,1 m,1,1%,Dolby Atmos Technology,"Enjoy Pure Bass Sound with all new race track drivers that pump booming Bass in a compact package. Keep the music going longer with 19 Hours of playtime under optimal audio settings. IPX7 rated, the allows you to enjoy music in rain or at your pool party. Party Boost allows you to pair two Party Boost-compatible speakers together for stereo sound or link multiple Party Boost-compatible speakers to pump up your party.","AAC, MP3, WAV, OGG, FLAC, AIFF",10 W,90 dB,"2, 2, 5 Tweeters",10 W,10 W,40,205 mm,0.5 kg,105 mm,75 mm,5 mm,6 Months,,,,14 mm,12 mm,10 mm,0.3 kg
834,"1 Main Unit, Manual, Remote Control, 2 Speaker, Sub Woofer",Sp11ra,Fusion 352 portable Wireless Party speaker,Soundbar,,Yes,Yes,Stereo,USB Chargeable,80HZ-20HZ,Yes,Black,Wireless,Yes,Yes,Yes,Yes,IOS,"Mobile, laptop, Computer, Television",AUX,1 USB Ports,YES,"Enjoy multiple connectivity,Tune-In to your local stations For echo sound please use echo knob to control if sound is not coming from mic, please use mic volume button to increase volume of mic","Yes, ABS Plastic Chassis","BUTTON TO DECREASE VOLUME, PRESS + BUTTON TO PLAY NEXT SONG, PRESS - BUTTON TO PLAY PREVIOUS, PLAY/PAUSE :- LONG PRESS + BUTTON TO INCREASE VOLUME",Wireless,5,"Before first use charge atlest for long Battery, Portable mobile Bluetooth speaker with good battery backup, Bluetooth /Wireless/ Aux/ Pan drive / Tf Card, car Aux / TV, so/ny",,144.3 cm,6.3 cm,14.6 cm,6 Months Repair Warranty,6 Months Manufacturing Warranty,Technical Damage,Physical Damage,6 Months,50 W,No,60 dB,75 dB,YES,1.2 hr,"Rechargeable, Use Time 12 hr",2200 mAh,10 m,3.5,80 degree,5 m,1,2,BASS,"USB powered 5.0 speaker best fit for your gaming experience as it comes in a modern design and adds an element with its breathing RGB LED lights, Battery Capacity of 1200mAh delivering a playback time of up to 10 hours (50% volume); Full Charge in about 4 hours",SOUNDBAR,10 W,90 dB,,,,60DB,220 mm,11.7 kg,413 mm,410 mm,,,,,,,,,
835,"1 SPEAKER SYSTEM, 1 REMOTE",MARIO 2.1,"HW-Q990B/XL Wireless Dolby Atmos Wi-fi, Q-Symphony Built-in Alexa",Tower Speaker,,5,Yes,Stereo Channel,"This speaker has a soundbar design. It is portable as well. Also, it features an LED display. You can take of its comp act shape and easily place it on the table near your bed or at any convenient spot.",80Hz-180Khz,4,Black,Wired & Wireless,Yes,Yes,Yes,Yes,"dynamic, multimedia",mobile phone,"Bluetooth ,wireless , Connector",1 USB Ports,yes,"Built-in Microphone , enjoying hand -free call,with Advanced noise, cancellation ,Enables hand- free calling & conference. Great for Indore & Outdoor Sound, Ultra 3d sound blast With rich premium Super deep Bass Splashproof/Waterproof NEW ARRIVAL Wireless Bluetooth Speaker with TF CARD/FM/USB DRIVE & AUX SUPPORTED IDEAL FOR CAR/LAPTOP/HOME AUDIO/GAMING SPEAKER/indoor/outdoor mini sub-woofer, support to connected with the all Bluetooth equipment., Voice calling-number, Automatically re-connect, automatically into pairing mode when failed, Low power prompt, Volume synchronization, the default volume is 50% of the maximum,, mpt, Redial function, Volume synchronization, the default volume is 50% of the maximum, Power synchronization, Reading TF card and U disk, Support line in audio input, With FM radio","Yes, METAL, PLASTIC Chassis",PREV/NEXT - PLAY/PAUSE - VOL - RECORDING,"As this is a Bluetooth speaker, it can wirelessly connect to your mobile phones and other Bluetooth enabled devices. The paring process is extremely user friendly and quick.",4,Before first use charge atlest 20 mints for long Battery,,14.5 cm,36 cm,20 cm,"For All Product Related Complaints/Assistance, Please Contact Manager, Customer Care Samsung India Electronics Pvt. Ltd., 6th Floor, DLF Centre, Sansad Marg, New Delhi - 110001 Email us at: support.india@samsung.com Tel (Toll Free): 1800 40 7267864 (1800 40 SAMSUNG)",12 Months Warranty,Defect Arising Out of Faulty or Defective Material or Workmanship. Parts and Labour Costs are Covered,Warranty does not cover damage caused to the product due to improper installation by customer; normal wear and tear caused due to use of product.,1 Year,10 W,NA,75 dB,42 dB,yes,2 hr,"Rechargeable, Use Time 8 hr",1200 mAh,10 m,32,HARD ABS PLASTIC,0.2 m,2,Thunder Bass Ws-04 Speaker With Mic Super Bass Bluetooth compatible for phones,BLUETOOTH,"ULTRA SOUND Speaker has a Cool appearance, Football shape design, fashionable and sporty,Support USB, Support TF card, FM Radio function, Bluetooth functionality built-in microphone can answer the phone,stereo input out put., Enjoy True, Full Room Sound From Our Resonance Technology And Tri-Band Sound Frequency. The Speaker Captures The High Highs And The Deepest Lows, Giving You Rich, Full Surround Sound, The Ultimate, High-Powered Portable Bluetooth Speaker With Powerful Stereo Sound And A Power Bank All In One Package. A Built-In Noise And Echo-Cancelling Speakerphone Gives",Apt-x,,90 dB,,,,40,14 mm,0.3 kg,12 mm,10 mm,,,,,,,,,
